NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
349,105729,32541,79044,36796,4,4,8,8,9,9,96,65,96,13,0.2,68,0.3,81,0.2,51,0.1,44,0.3,86,0.3,79,0.2,50,0.1,40,0.2,47,0.3,100,0.2,49,0.1,36,0.1,33,0.2,47,1.01,3,0.67,2,0,0,0.34,1,0,0,0,0,1.01,3,0.67,2,1583,7917,1612,6448,1583,7917,1420,8517,1420,8517,1420,8517,44,41,42,41,39,37,70,448,71,470,76,603,77,604,77,604
350,95045,46730,76250,17191,1,1,1,1,2,3,76,39,98,27,1.9,604,2,609,2,623,1.9,594,1.9,593,1.6,512,1.9,594,2.7,831,2.5,780,1.7,527,1.5,466,1.3,392,1.8,573,1.9,579,2.25,7,2.57,8,0.96,3,1.6,5,0.32,1,2.25,7,0.96,3,0.64,2,8120,40598,8120,40600,8120,40598,8120,40598,8120,40598,8120,40598,48,47,46,45,43,41,0,0,0,0,0,0,0,0,0,0
351,88929,30284,86688,40171,4,5,8,8,8,10,92,35,92,28,0.2,34,0.1,23,0.2,35,0.1,19,0.1,21,0.1,17,0.1,18,0.1,28,0.1,17,0.1,19,0.1,20,0,10,0,8,0.1,12,0.49,1,0,0,0.49,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2674,2674,2674,2674,,,,,49,47,0,0,0,0,39,172,39,172,42,172
352,58063,11906,55893,8105,4,3,5,5,5,4,98,24,99,3,0.5,113,0.3,82,0.3,74,0.3,82,0.7,185,0.4,103,0.4,96,0.4,91,0.2,48,0.3,78,0.4,92,0.4,101,0.3,87,0.4,100,1.18,3,0,0,0.79,2,0.39,1,0,0,0.39,1,6.7,17,0,0,5285,21139,5285,21140,5285,21139,5285,21139,5285,21139,5285,21139,23,22,21,20,18,16,4,49,4,48,4,48,4,48,4,48
353,119583,16943,98500,16778,2,2,2,2,2,3,97,33,98,2,0.7,475,0.8,527,0.7,510,0.7,505,0.5,362,0.4,274,0.3,205,0.3,223,0.4,246,0.5,317,0.5,357,0.5,313,0.3,212,0.3,192,0.15,1,0.15,1,0.58,4,0.29,2,1.02,7,0.44,3,0.87,6,0.58,4,31216,124862,31216,124864,24964,124822,20895,125370,20895,125370,17035,102207,26,25,26,24,22,25,0,0,0,0,9,91,9,91,9,90
354,63481,15480,62699,7303,4,5,4,4,6,5,98,26,97,27,7.1,1815,6.8,1738,6.8,1737,7.3,1878,7.6,1949,7.6,1958,6.1,1555,7.1,1817,7.7,1978,6.8,1735,5.9,1518,5.7,1455,5.3,1346,6.3,1625,3.51,9,10.54,27,8.59,22,2.34,6,2.34,6,6.64,17,5.47,14,5.08,13,40813,612199,40446,606690,40284,604255,40284,604255,40284,604255,40284,604255,25,24,25,24,22,20,91,925,92,936,92,935,92,935,92,935
355,102560,31539,95678,15270,2,2,2,2,3,3,100,38,99,1,13.3,8454,12.7,8039,12.2,7708,11.3,7191,11.4,7236,8.4,5316,8,5078,8.8,5568,10.3,6557,7.3,4629,5.7,3637,5.2,3317,4.1,2631,5.6,3541,6.75,43,9.1,58,9.1,58,9.15,58,7.73,49,7.57,48,6.94,44,6.62,42,56583,2602837,57675,2710725,58397,2686268,58387,2685809,59138,2661217,59178,2662998,16,15,14,13,11,9,0,0,0,0,0,0,0,0,0,0
356,151354,,148872,,1,1,1,1,2,1,97,26,92,20,2.8,2757,1.6,1535,1.1,1097,1.1,1038,0.9,875,1.2,1186,0.9,875,0.9,926,1.5,1481,0.8,823,0.7,708,0.6,559,0.5,512,0.4,435,0.82,8,1.54,15,2.25,22,1.94,19,1.43,14,1.43,14,1.94,19,1.13,11,50152,651979,49735,646555,57029,627315,53000,636000,53000,636000,48228,626963,20,19,19,18,16,18,77,1483,57,1087,57,1086,58,1086,58,1087
357,96840,,86060,,7,7,8,8,8,8,97,16,96,18,2.3,798,2.5,865,2.3,791,2,681,3,1030,2,706,2.1,739,2.1,740,1.9,642,2.1,726,2.2,745,1.8,638,1.6,538,2,682,1.74,6,3.76,13,5.5,19,3.47,12,0.87,3,0.87,3,1.16,4,3.76,13,14873,252840,14873,252841,14873,252840,14815,251861,15763,236452,13206,250914,43,42,41,40,43,45,51,746,51,740,51,739,51,740,50,698
358,76008,,74956,,2,2,2,2,2,1,98,16,96,25,19.3,15884,17.6,14465,18,14842,17.7,14591,15.7,12951,14.4,11857,14.9,12249,16.2,13327,16,13204,15.6,12806,14.9,12277,13.4,11014,13.9,11471,12.8,10555,16.27,134,12.75,105,22.47,185,16.03,132,13.48,111,12.15,100,14.57,120,11.3,93,132221,7933277,139377,8641374,129060,7872634,126787,7480408,129353,7761164,131757,7773664,27,26,26,26,24,22,91,1773,95,1333,99,1641,98,1473,98,1473
359,124741,,119216,,0,1,1,1,1,1,97,22,100,0,1.3,529,1.4,562,1.3,520,1.2,490,1.2,498,1,434,1,403,1,424,1,404,0.9,382,0.9,386,0.9,390,0.8,326,0.7,281,0.72,3,1.2,5,1.93,8,0.48,2,0.24,1,0.48,2,0.24,1,0.24,1,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238,25,24,23,22,20,18,0,0,0,0,0,0,0,0,0,0
360,65923,,68224,,11,13,13,13,12,14,97,25,93,4,0.1,171,0.1,176,0.1,178,0.1,167,0.1,76,0.1,211,0.1,176,0.1,179,0.2,220,0.1,185,0.1,164,0.1,151,0.1,140,0.1,197,0.14,2,0.21,3,0.21,3,0.07,1,0,0,0.07,1,0.14,2,0,0,8057,64453,8057,64456,8057,64453,6899,55193,6899,55193,8057,64453,21,20,19,18,16,14,0,0,0,0,0,0,0,0,0,0
361,32375,,19057,,21,26,48,59,48,52,89,15,80,10,5,2460,4.6,2267,3.8,1884,3.4,1705,3.2,1590,3.1,1517,3.8,1883,4.1,2031,4.1,2022,4.3,2157,4,1996,3.9,1926,4,1963,4.7,2319,5.85,29,3.03,15,3.63,18,3.23,16,3.63,18,1.61,8,2.83,14,3.03,15,19960,1676648,19719,1676115,19833,1705617,19551,1720460,19412,1708270,19044,1713922,57,56,56,56,54,53,83,716,81,610,77,461,73,328,73,328
362,30513,,27857,,39,41,53,50,50,49,97,20,84,4,2.8,2256,2.4,1982,2,1665,2.1,1733,2.1,1737,2.5,2044,1.8,1464,2.3,1833,2.4,1938,2.1,1669,1.9,1530,1.4,1176,1.4,1139,1.8,1446,0.49,4,1.72,14,1.6,13,0.74,6,1.47,12,2.7,22,0.86,7,0.37,3,52849,1955403,51110,1942180,50859,1932657,50872,1933146,50470,1917846,50470,1917846,35,35,34,33,31,29,0,0,0,0,0,0,0,0,0,0
363,25250,,25665,,41,46,52,49,43,52,98,18,75,28,3.4,4556,3.1,4249,3.1,4188,2.7,3731,2.4,3288,2.4,3223,2.5,3408,2.9,3913,2.7,3682,3,4059,2.9,3915,2.6,3583,2.5,3433,2.7,3713,1.76,24,1.91,26,1.54,21,1.69,23,2.13,29,1.32,18,1.18,16,0.81,11,29765,5447040,29376,5434560,29385,5436212,29056,5404345,28971,5417630,28570,5428286,47,46,45,44,43,41,0,0,0,0,0,0,0,0,0,0
364,Over 200000,,205063,,0,0,0,0,0,0,99,19,98,3,2,941,1.8,871,1.6,775,1.6,792,2.1,1015,2.3,1097,2.2,1045,2.4,1159,2.4,1159,2.2,1054,2,981,2.1,1023,2.2,1043,1.9,901,1.65,8,1.86,9,0.83,4,2.48,12,3.1,15,3.31,16,2.69,13,1.03,5,7440,267833,9253,342361,6383,255335,6765,270605,7996,335848,6997,286871,61,59,59,58,55,57,75,880,78,900,79,909,79,907,80,893
365,49063,,49571,,12,13,18,17,14,21,99,26,92,12,1.3,358,1.3,361,1.6,426,1.5,408,1.2,319,1,272,1.2,331,1.2,329,1.4,389,1.5,399,1.4,364,1.5,394,1.9,517,2,551,0.37,1,0.74,2,2.23,6,1.49,4,0.74,2,1.86,5,1.86,5,0.37,1,10943,306404,10943,306404,10943,306404,10976,307326,9842,275567,9776,283517,49,48,47,46,45,42,2,16,5,42,5,42,5,42,5,42
366,41500,,40000,,14,15,26,23,27,32,99,27,98,4,6.8,2360,6.2,2156,6.2,2166,6.3,2177,5.5,1912,5.3,1861,4.1,1437,6.4,2222,5.2,1817,7.2,2506,7.5,2616,7.8,2699,6.9,2411,8.7,3013,5.17,18,3.45,12,6.61,23,4.02,14,4.3,15,3.44,12,4.02,14,5.17,18,19692,2146433,18670,1997690,18358,2001009,18163,1834416,17022,1770331,16759,1776458,52,52,51,49,47,45,65,287,66,289,66,290,65,298,68,300
367,74194,,71595,,2,2,3,3,3,4,95,14,97,2,20.7,15120,21,15344,20.2,14796,24.9,18233,27,19704,25.2,18387,25.2,18410,24.7,18025,24.5,17893,22.2,16257,21.4,15635,19.9,14518,19,13900,20.4,14929,7.79,57,11.76,86,8.75,64,6.29,46,12.99,95,8.34,61,10.94,80,11.49,84,29397,6232091,28776,6273168,27880,6273021,26645,6101793,25553,5953733,26718,6278699,60,60,59,58,56,55,69,2148,68,2102,68,2097,77,2110,78,2120
368,67584,,60489,,8,11,15,15,11,14,98,14,93,3,5.1,5630,5.1,5621,3.4,3731,3.3,3715,2.7,2974,2.7,3000,3.1,3483,3.7,4075,4,4396,3,3297,3.1,3399,3,3340,3.4,3757,3.2,3502,2.16,24,3.24,36,2.52,28,2.07,23,2.61,29,2.7,30,3.33,37,1.62,18,47789,2867310,48607,2867813,48607,2867798,47837,2870207,47669,2860116,47669,2860116,23,22,21,21,19,17,57,678,57,680,57,680,50,593,50,593
369,26154,,21849,,47,54,63,67,56,59,97,20,77,15,3.7,1217,3.3,1079,3.6,1197,3.4,1108,3.8,1246,3.4,1129,6.5,2152,8.1,2670,8.5,2804,6.4,2114,6.1,2023,6.2,2033,6,1970,7.4,2423,1.22,4,2.13,7,2.74,9,2.13,7,6.08,20,0.61,2,1.52,5,2.43,8,15155,1348828,15374,1368286,15379,1368726,15679,1379731,15682,1380041,15549,1383878,53,52,51,50,48,46,4,20,10,47,12,55,12,56,19,96
370,16716,,18440,,46,59,75,72,64,78,96,25,80,5,5.8,2716,6,2833,6,2819,5.4,2568,6.2,2908,5.8,2739,6.2,2904,5.9,2793,6,2828,5.9,2779,5.9,2784,5.2,2475,5.2,2450,4.8,2286,5.3,25,6.57,31,2.76,13,3.61,17,4.67,22,5.09,24,1.7,8,10.39,49,22108,1238059,22089,1236984,22080,1236497,21874,1203081,21505,1161280,21018,1155963,31,30,29,30,27,26,59,727,68,830,68,832,68,831,68,843
371,29046,,29054,,36,38,43,42,40,29,95,9,85,3,2,2787,2,2745,1.5,2157,1.6,2230,1.3,1751,1,1372,1.1,1584,1.1,1591,1.1,1603,1.5,2074,1.3,1865,1.2,1623,1.1,1602,1.3,1784,1.86,26,1.86,26,0.86,12,1.15,16,1.08,15,0.72,10,1.72,24,1.15,16,17215,2237999,16941,2236212,17201,2218897,17091,2204684,16405,2214690,16700,2304601,41,40,39,38,36,35,5,112,6,145,12,265,12,265,12,266
372,88831,,90717,,3,3,4,4,4,4,98,19,95,1,0.7,1275,0.6,1229,0.6,1231,0.6,1164,0.5,953,0.3,687,0.2,380,0.3,559,0.2,486,0.2,471,0.2,356,0.2,408,0.2,390,0.2,314,0.1,2,0.15,3,0.15,3,0.1,2,0.41,8,0.36,7,1.02,20,0.15,3,10155,152321,10155,152325,10155,152321,10409,145732,13005,130051,13005,130051,19,18,17,17,17,15,16,730,15,673,15,673,15,673,15,668
373,109563,,109648,,1,1,2,2,2,1,96,17,97,3,1,865,1,859,1,836,1,830,0.9,761,0.8,711,0.8,655,0.8,675,0.8,692,0.9,732,1,842,0.9,750,0.8,724,0.8,717,0.82,7,0.59,5,0.82,7,0.47,4,0.82,7,0.59,5,1.17,10,0.7,6,22323,111615,22323,111615,19105,114629,19105,114629,19105,114629,19105,114629,46,45,39,38,36,34,33,376,32,353,31,343,31,343,32,358
374,21393,,23319,,43,47,56,54,43,46,97,21,87,5,0.6,259,0.7,293,0.7,310,0.8,332,0.2,81,0.3,121,0.4,148,0.4,155,0.4,160,0.4,165,0.4,174,0.4,179,0.4,178,0.4,147,1.2,5,1.2,5,1.68,7,1.68,7,0,0,0.24,1,0.72,3,0.96,4,3685,121591,3610,122740,3611,122758,3812,133423,3719,130161,3719,130161,51,49,48,47,47,45,65,746,63,712,63,711,62,710,62,707
375,181643,,164516,,0,0,0,0,0,0,83,37,98,31,0.4,380,0.4,401,0.4,379,0.4,408,0.6,628,0.6,576,0.5,487,0.5,536,0.4,369,0.3,333,0.3,309,0.3,310,0.3,299,0.3,343,0.1,1,0.61,6,0,0,0.5,5,0.1,1,0.4,4,0.5,5,0.4,4,15057,105401,15057,105399,14783,103480,15047,105330,14965,104756,13131,105045,20,19,18,17,15,13,0,0,0,0,4,37,4,36,4,35
376,73558,,72273,,11,12,13,12,12,13,93,19,94,3,0.2,215,0.2,208,0.2,278,0.2,277,0.2,248,0.2,223,0.2,178,0.1,162,0.1,128,0.1,119,0.1,140,0.1,134,0.1,107,0.1,78,0.17,2,0.26,3,0,0,0.09,1,0.09,1,0,0,0.09,1,0,0,13110,117986,11513,103617,15568,140110,13110,117986,12762,114858,12762,114858,41,40,39,38,37,35,2,29,2,31,3,38,3,38,3,38
377,83044,,84236,,10,11,11,11,10,11,94,17,94,21,0.1,152,0.2,245,0.1,150,0.1,123,0.1,112,0.1,73,0.1,77,0.1,63,0.1,77,0,35,0,18,0,12,0,12,0,16,0.19,2,0,0,0.37,4,0.19,2,0,0,0,0,0,0,0.09,1,11145,44580,13527,40581,13527,40580,13527,40580,13527,40580,19786,39572,14,17,16,15,13,13,0,0,0,0,0,0,0,0,0,0
378,121596,,122564,,2,3,4,4,4,6,96,16,95,1,1.9,1692,1.7,1517,1.5,1399,1.6,1432,1.3,1226,1.2,1106,1.4,1275,1.4,1262,1.4,1292,1.3,1224,1.3,1165,1.4,1288,1.5,1358,1.3,1219,1.53,14,3.06,28,1.64,15,1.42,13,0.77,7,1.97,18,1.09,10,1.97,18,11489,792756,11285,801235,11164,814968,9967,767487,10642,830040,9483,768132,59,59,60,58,57,56,40,958,35,749,35,751,34,728,33,697
379,184912,,170694,,0,0,0,0,1,0,86,33,95,2,0.6,604,0.5,523,0.4,467,0.4,426,0.4,448,0.4,376,0.3,325,0.2,199,0.3,350,0.2,194,0.3,350,0.4,378,0.4,386,0.4,461,0.74,8,0.56,6,0.28,3,0.09,1,0.93,10,0.28,3,0.09,1,0.47,5,28780,143899,28780,143900,28780,143899,28397,141983,28397,141983,28397,141983,21,20,19,19,17,15,14,197,20,264,18,243,18,240,18,231
380,160805,,158790,,1,1,1,1,1,1,94,20,96,18,0.6,1101,0.5,1030,0.4,763,0.4,712,0.2,408,0.2,318,0.1,282,0.1,265,0.1,229,0.1,221,0.1,188,0,81,0.1,120,0.1,136,0.11,2,0.16,3,0.21,4,0.16,3,0,0,0.05,1,0.16,3,0.11,2,1645,4934,1645,4935,1645,4934,1645,4934,1645,4934,1471,2942,25,24,23,22,20,25,4,68,4,68,4,68,4,68,4,68
381,63824,,58526,,9,8,10,11,11,14,94,18,97,3,1.1,544,1.3,643,1.4,706,1.5,738,1.3,639,1.7,837,1.9,932,2.6,1270,2.5,1210,2.9,1418,1,476,0.9,434,1.8,865,3,1482,4.27,21,2.64,13,6.7,33,4.87,24,1.22,6,2.44,12,3.65,18,1.62,8,9147,301845,9756,341460,10672,384177,14745,545568,10012,360428,10153,345196,53,54,54,53,52,49,57,1125,57,1152,62,1282,55,954,55,954
382,26591,,27089,,22,25,31,30,31,30,92,24,76,5,2,850,1.8,774,2.1,923,2.2,949,2.1,919,2.3,1015,2.7,1166,2.5,1078,2.7,1172,2.8,1220,2.2,950,1.9,845,2.1,932,2.3,1005,1.84,8,0.69,3,2.99,13,1.38,6,2.99,13,0.69,3,4.14,18,1.38,6,6937,242805,12368,457616,14229,540683,14627,541204,14270,542256,16590,663585,58,58,57,55,54,54,84,779,88,807,88,805,88,821,88,824
383,60447,,56043,,17,17,21,20,20,20,98,22,96,2,1.2,745,1.2,745,1.6,992,1.4,837,0.9,566,1.1,684,1,620,1.2,716,1.4,872,1.9,1149,1.7,1036,1.9,1158,1.7,1023,1.4,895,1.13,7,7.93,49,0.97,6,1.46,9,9.39,58,0.49,3,1.46,9,1.46,9,13084,745784,12932,750056,12679,722675,12661,721655,12876,759701,13098,759701,39,38,37,37,36,34,51,806,52,830,52,830,52,830,52,830
384,109411,,112500,,4,2,3,3,3,6,96,34,96,5,65.2,22644,56.1,19498,53.4,18539,57.4,19924,63.9,22189,43.9,15244,35.8,12421,38.6,13397,38,13175,42.9,14894,38.5,13358,40.1,13918,41.1,14252,42.5,14758,46.34,161,57.28,199,40.01,139,42.89,149,37.99,132,30.8,107,29.07,101,21.59,75,83080,9055693,91556,10071160,93690,10399613.1,110196,12562387.03,98002,11172176,97250,11183703,60,62,61,61,59,57,69,1961,65,1679,93,1694,93,1686,91,1333
385,29677,,29395,,45,47,61,59,55,52,98,18,82,5,0.6,461,0.6,441,0.6,473,0.6,458,0.4,333,0.4,354,0.4,352,0.4,341,0.8,666,0.9,684,0.8,644,0.9,707,0.8,671,0.5,426,0.63,5,0.88,7,1.26,10,3.79,30,5.55,44,3.66,29,2.65,21,1.89,15,14962,822922,14941,821755,14941,821752,14941,821752,15313,811596,15289,810311,57,56,55,54,52,51,0,0,0,0,0,0,0,0,0,0
386,47778,,38661,,15,18,29,28,34,41,77,33,84,6,0.9,252,1.1,309,1,281,1,267,1,266,0.9,263,0.9,247,0.9,247,1,272,1.2,342,1.2,323,1.2,335,1.2,321,1.2,341,4.68,13,2.16,6,3.24,9,1.8,5,1.08,3,0.72,2,2.52,7,1.8,5,9609,192186,9881,207501,11052,232090,11067,232401,8009,176189,9836,226228,62,62,61,60,58,57,14,123,12,99,12,102,12,101,12,102
387,40479,,38567,,47,52,63,59,53,43,91,24,74,7,3.3,5970,3.3,5919,3,5331,3.3,5845,3.4,6147,3,5318,2.7,4900,3.1,5520,3.2,5641,3.6,6392,3.5,6184,3.6,6518,4.1,7294,4.7,8465,1.35,24,1.46,26,1.57,28,2.01,36,2.52,45,1.23,22,2.35,42,1.62,29,25914,6037930,25262,5911308,21845,5155455,21926,5174591,22442,5273952,21879,5229034,41,41,40,40,38,36,27,253,49,456,48,455,48,455,48,457
388,65342,,53219,,9,9,21,20,26,30,92,18,93,25,4.3,1724,4.3,1698,3.9,1551,3.9,1533,3,1179,3,1184,3,1187,3.7,1485,3.9,1549,3.3,1324,3.6,1430,3,1211,3.8,1529,3.3,1323,10.06,40,6.79,27,8.55,34,2.52,10,4.02,16,0.75,3,2.77,11,1.76,7,21897,1707975,18870,1547340,17230,1395590,14575,1165998,14365,1177935,14325,1289288,52,53,55,55,53,51,59,873,60,871,40,394,39,383,28,229
389,45588,,39103,,18,19,25,24,24,23,98,18,94,2,1,1096,1,1142,1,1124,1,1149,1.1,1186,1.1,1189,0.9,958,0.9,989,0.9,969,1.1,1185,1.2,1268,1.1,1184,1,1090,1,1102,1.64,18,1.36,15,2.18,24,1.55,17,3.36,37,2.91,32,2.36,26,2.09,23,7621,259113,9177,312018,9363,308968,9176,302805,9278,287603,9278,287603,45,44,42,42,41,39,51,1893,47,1671,50,1783,50,1773,50,1775
390,44769,12910,45833,10806,16,16,22,22,22,23,97,39,97,1,2.2,583,2.2,584,2.5,660,2.4,649,1.6,432,2,521,2.2,597,2.4,637,2.5,657,2.4,638,3.3,880,3.1,821,3.4,902,2.3,617,3.38,9,1.88,5,0.75,2,1.5,4,1.5,4,2.62,7,1.5,4,6,16,9960,667291,9747,672543,9747,672514,9833,668630,9824,658211,9825,648479,57,56,55,54,52,50,3,20,1,10,1,10,1,10,1,10
391,116827,,102561,,2,3,4,3,2,3,97,12,94,10,0.9,497,0.9,494,0.9,519,0.8,459,0.7,388,0.6,350,0.6,332,0.6,327,1,568,1,552,1,565,0.9,523,0.8,452,0.7,413,0,0,0,0,0,0,0.18,1,0,0,0.18,1,0,0,0,0,2024,2024,2024,2024,33410,66820,22293,66880,22293,66880,22293,66880,53,52,48,42,41,38,0,0,0,0,0,0,0,0,0,0
392,141071,,140870,,0,1,1,1,1,1,90,15,96,1,3,4354,2.3,3371,2.3,3382,2.3,3404,2.2,3212,2,2975,2,2959,2,2949,1.7,2506,2,2907,1.9,2825,1.9,2798,2.1,3036,2,2962,5.79,85,3.07,45,3.27,48,2.59,38,3.2,47,2.8,41,2.18,32,3.61,53,27338,1421583,27338,1421576,27338,1421583,27679,1577679,29181,1663326,29160,1662139,54,53,52,52,49,47,41,1708,44,1813,44,1815,44,1809,44,1778
393,90246,,87209,,5,6,8,7,7,10,90,27,97,4,6.3,6313,6.5,6462,6.3,6239,5.8,5791,5.3,5334,4.4,4392,3.8,3817,3.7,3644,3.7,3647,3.6,3626,3.7,3735,3.8,3832,4,4012,4.1,4053,4.01,40,4.71,47,6.81,68,5.41,54,4.61,46,3.31,33,3.11,31,3.21,32,21508,2301308,20767,2180535,18636,1919529,18406,1914237,20009,2180935,20004,2200406,39,39,39,38,36,35,66,1761,74,1979,75,1999,76,2138,76,2222
394,39607,,39346,,10,11,14,13,15,15,97,18,91,4,5.1,1997,5,1964,5.1,1988,5.4,2131,2.3,890,1,386,1.7,659,1.1,443,1,381,6.5,2546,6.7,2640,6.6,2609,6.5,2566,6.5,2539,0.25,1,0.51,2,1.53,6,0.51,2,1.78,7,2.29,9,0.51,2,7.9,31,16934,237081,18403,239239,18403,239235,18723,243403,18723,243403,18723,243403,39,41,40,39,37,35,33,481,26,381,27,383,27,383,26,374
395,78333,14841,73906,13818,3,4,5,5,5,6,85,44,99,2,2.6,1607,2.4,1541,2.4,1516,2.2,1367,2,1250,1.4,893,1.4,868,1.5,938,1.7,1090,1.5,972,1.4,896,1.4,866,1.4,908,1.2,752,4.76,30,1.27,8,1.74,11,3.49,22,1.59,10,1.27,8,4.76,30,1.27,8,22478,989048,22767,978981,22756,978502,22769,979075,22769,979075,22842,982196,18,17,16,15,13,12,13,126,18,118,23,154,23,154,23,153
396,68485,11444,71354,7919,8,8,9,9,10,9,98,16,98,3,0,96,0,89,0,131,0,97,0,68,0,46,0,49,0,77,0,120,0,84,0,68,0,63,0,64,0,65,0.02,1,0.07,3,0.02,1,0,0,0,0,0.02,1,0.02,1,0.09,4,3594,14375,3594,14376,3594,14375,3594,14375,3594,14375,3594,14375,26,25,25,23,21,19,0,0,0,0,0,0,0,0,0,0
397,81098,29167,95493,29489,3,3,3,3,4,4,92,47,99,29,9,1350,11.8,1779,10.4,1565,9,1355,8.4,1272,9.9,1491,9,1365,11.8,1777,10.4,1563,8.9,1349,6.9,1046,7.3,1107,3,452,3.8,568,0.66,1,1.33,2,1.99,3,5.32,8,13.95,21,23.25,35,72.42,109,7.31,11,20885,417698,20885,417700,20885,417698,20825,416494,20825,416494,20825,416494,16,15,15,13,11,9,100,1127,100,1127,100,1128,100,1086,100,921
398,53977,51776,44271,43920,2,4,2,2,5,5,87,23,85,51,1.8,494,1.5,417,0.2,53,0.3,80,0.2,42,0.5,130,0.3,90,0.3,85,0.3,88,0.3,85,0.3,81,0.3,88,0.3,83,0.3,88,0.36,1,0.36,1,1.08,3,0.72,2,0.72,2,0.36,1,1.08,3,39.46,110,20749,103744,20749,103745,20749,103744,20749,103744,29394,146972,29394,146972,30,29,28,27,26,24,2,10,2,10,2,9,2,9,2,8
399,96154,27771,80160,18801,2,2,2,2,3,3,98,26,97,6,4,2595,3.6,2345,3.5,2294,3.4,2227,2.7,1758,2.2,1420,2.2,1447,2.7,1749,2.9,1868,2.6,1676,2.1,1385,1.8,1190,0.9,589,1.2,795,1.38,9,1.23,8,2.91,19,2.76,18,4.15,27,2,13,1.54,10,1.69,11,35706,999778,36992,998784,36992,998789,35328,953843,35423,956426,34155,888040,17,16,15,15,13,12,78,855,80,865,82,866,84,866,84,866
400,111019,14339,114609,22225,1,1,1,1,1,2,100,45,95,15,0.3,193,0.3,170,0.3,173,0.3,173,0.1,76,0.6,373,0.6,381,0.6,392,0.6,415,0.7,431,0.7,439,0.7,441,0.1,98,0.7,481,0,0,0.75,5,0.3,2,0.3,2,0.15,1,0,0,0.15,1,0.15,1,2164,4328,2164,4328,2164,4328,2164,4328,2164,4328,1536,3072,35,34,33,32,30,28,26,231,26,231,26,229,26,229,26,229
